ID,EWONDO,FRENCH,CATEGORY
171,sal,Fendre,Verbes
172,dúgan,Rendre,Verbes
173,nɔŋ,Prendre,Verbes
174,və́,Donner,Verbes
175,kab,Partager,Verbes
176,dzə́ŋ,Chercher,Verbes
177,sɔm,Trouver,Verbes
178,fas,Reflechir,Verbes
179,búni,Croire,Verbes
180,nyiŋ,Vivre,Verbes
181,yón,Pleurer,Verbes
182,dzə́m,Danser,Verbes
183,dzoge,Laisser,Verbes
184,kɔ́bɔ,Parler,Verbes
185,yi,Vouloir,Verbes
186,bɔ,Faire,Verbes
187,tɔbɔ,S’asssoir,Verbes
188,kogolan,Prier,Verbes
189,woe,Rire,Verbes
190,bág,Ajouter,Verbes
191,kus,Acheter,Verbes
192,koan,Vendre,Verbes
193,tsénde,Changer,Verbes
194,kúí,Sortir,Verbes
195,yòmbo,Vieillir,Verbes
196,kud,Cogner,Verbes
197,dzoge,Laisser,Verbes
198,kə,Partir,Verbes
199,kə óyɔ́,Dormir,Verbes
200,kilan,Tourner,Verbes
201,ndəŋ óyɔ́,Somnoler,Verbes
202,ndáman,Gater,Verbes
203,yaan,S'irriter,Verbes
204,wé,Tuer,Verbes
205,byé,Accoucher,Verbes
206,tsindi,Attacher,Verbes
207,yám,Cuisiner,Verbes
208,tɛ,Insulter,Verbes
209,vógolo,Ecouter,Verbes
210,tɔ́g,Petit,Adjectifs
211,anén,Grand,Adjectifs
212,fɛ,Machette,Outils et Ustensiles et Meubles
213,ebag,Houe,Outils et Ustensiles et Meubles
214,okəŋ,Couteau,Outils et Ustensiles et Meubles
215,esɔ́á,Assiette,Outils et Ustensiles et Meubles
216,efɔá ndúan,Foyer (feu de cuisine),Outils et Ustensiles et Meubles
217,mvié,Marmite,Outils et Ustensiles et Meubles
218,ǹtsɔ́bí,Mortier,Outils et Ustensiles et Meubles
219,ǹtúm,Pilon,Outils et Ustensiles et Meubles
220,ḿba tógo,Louche,Outils et Ustensiles et Meubles
221,tə̄bə̄lə,Table,Outils et Ustensiles et Meubles
222,etɔa,Chaise,Outils et Ustensiles et Meubles
223,enɔŋ,Lit,Outils et Ustensiles et Meubles
224,ndə́g,Calebasse,Outils et Ustensiles et Meubles
225,tóg,Cuillere,Outils et Ustensiles et Meubles
226,elúm,Fourchette,Outils et Ustensiles et Meubles
227,etaŋan,Etagere,Outils et Ustensiles et Meubles
228,ngál,Fusil,Outils et Ustensiles et Meubles
229,akɔ̌ŋ,Fleche,Outils et Ustensiles et Meubles
230,m̀fan,Crochet,Outils et Ustensiles et Meubles
231,mvunda,Filet,Outils et Ustensiles et Meubles
232,ǹkóg,Canne,Outils et Ustensiles et Meubles
233,dzǎd,Panier,Outils et Ustensiles et Meubles
234,ǹkóé,Hotte,Outils et Ustensiles et Meubles
235,etaŋana,Claie,Outils et Ustensiles et Meubles
236,m̀fan,Arc,Outils et Ustensiles et Meubles
237,m̀bɛɛ,Cultivateur,Professions et Titres
238,ǹsomo,Chasseur,Professions et Titres
239,ǹnɔ̂n biyə́m,Eleveur,Professions et Titres
240,ǹgəngáŋ,Guerisseur,Professions et Titres
241,mod bitá,Guerrier,Professions et Titres
242,m̀bɔ bisyé,Serviteur,Professions et Titres
243,mɔ́ngɔ̂ sikúlu,Eleve,Professions et Titres
244,kaíza,Roi,Professions et Titres
245,miningá kaíza,Reine,Professions et Titres
246,ngɔn kaíza,Princesse,Professions et Titres
247,ndómán kaíza,Prince,Professions et Titres
248,ǹkúkūmá,Chef,Professions et Titres
249,m̀bɛɛ,Cultivateur,Sentiments et emotions
250,ǹsomo,Chasseur,Sentiments et emotions
251,ǹnɔ̂n biyə́m,Eleveur,Sentiments et emotions
252,ǹgəngáŋ,Guerisseur,Sentiments et emotions
253,mod bitá,Guerrier,Sentiments et emotions
254,m̀bɔ bisyé,Serviteur,Sentiments et emotions
255,mɔ́ngɔ̂ sikúlu,Eleve,Sentiments et emotions
256,kaíza,Roi,Sentiments et emotions
257,miningá kaíza,Reine,Sentiments et emotions
258,ngɔn kaíza,Princesse,Sentiments et emotions
259,ndómán kaíza,Prince,Sentiments et emotions
260,ǹkúkūmá,Chef,Sentiments et emotions
261,mintag,Joie,Sentiments et emotions
262,wǎŋ,Peur,Sentiments et emotions
263,olún,Colere,Sentiments et emotions
264,ediŋ,Amour,Sentiments et emotions
265,zíŋ,Haine,Sentiments et emotions
266,okálá,Mefiance,Sentiments et emotions
267,abán,Jalousie,Sentiments et emotions
268,engɔ̌ngɔ̄l,Tristesse,Sentiments et emotions
269,mvɔɛ́,Paix,Sentiments et emotions
270,ǹló,Tête,Anatomie
271,dís,oeil,Anatomie
272,alɔ́,oreille,Anatomie
273,anyu,bouche,Anatomie
274,dzóé,nez,Anatomie
275,ekǒb,peau,Anatomie
276,wɔ́,main,Anatomie
277,akǒl,pied,Anatomie
278,abum,ventre,Anatomie
279,mvús,dos,Anatomie
280,akan,fesse,Anatomie
281,abɛ́,sein,Anatomie
282,onyǔ,doigt,Anatomie
283,ekúdəbɔ́ŋ,coude,Anatomie
284,abɔ́ŋ,genoux,Anatomie
285,asǒŋ,dent,Anatomie
286,oyə́m,langue,Anatomie
287,abɛ,cuisse,Anatomie
288,boá,cerveau,Anatomie
289,ǹnə́m,coeur,Anatomie
290,ekob,peau,Anatomie
291,esǐl,cheveux,Anatomie
292,eyé,Levre,Anatomie
293,etúl,épaule,Anatomie
294,kíŋ,cou,Anatomie
295,mvɔlo,cheville,Anatomie
296,m̀byán,Mollet,Anatomie
297,esə́g,Foie,Anatomie
298,mimbaŋ mi otam,Rein,Anatomie
299,odug,Bassin,Anatomie
300,abɔ́ŋ,Jambe,Anatomie
301,ǹkug,Poitrine,Anatomie
302,engɔŋ,Gorge,Anatomie
303,zěl,Barbe,Anatomie
304,asú,Front,Anatomie
305,ǹsɔ́d,Penis,Anatomie
306,eye koa,Paupiere,Anatomie
307,dɔ́l,Nuque,Anatomie
308,eláŋ,Anus,Anatomie
309,dɔ́b,Nombril,Anatomie
310,wɔ́,Bras,Anatomie
311,abin,Testicule,Anatomie
312,osaŋ,Estomac,Anatomie
313,ǹyia,Intestin,Anatomie
314,ebóŋ,Vagin,Anatomie
315,m̀bóg dzóé,Narine,Anatomie
316,dziyé,Ongle,Anatomie
317,mvaŋ,Aiselle,Anatomie
